指标名称,贷款市场报价利率(LPR):1年,贷款市场报价利率(LPR):5年,SHIBOR:隔夜,SHIBOR:1周,国债到期收益率:10年,企业债到期收益率(AA):10年,企业债到期收益率(AAA):10年
频率,日,日,日,日,日,日,日
2019-01,4.3100,,2.3000,2.6340,3.2042,5.3754,4.3120
2019-01,4.3100,,1.9680,2.5470,3.1517,5.3291,4.2550
2019-01,4.3100,,1.6490,2.5630,3.1316,5.3166,4.2369
2019-01,4.3100,,1.4470,2.4750,3.1509,5.3056,4.2187
2019-01,4.3100,,1.4140,2.3720,3.1115,5.3067,4.1987
2019-01,4.3100,,1.5670,2.4750,3.1110,5.3129,4.1842
2019-01,4.3100,,1.7430,2.5870,3.1212,5.2923,4.1734
2019-01,4.3100,,1.7080,2.5550,3.1106,5.3019,4.1725
2019-01,4.3100,,1.8780,2.6290,3.1212,5.2979,4.1695
2019-01,4.3100,,2.2450,2.6520,3.1477,5.2729,4.2113
2019-01,4.3100,,2.3060,2.6400,3.0858,5.2659,4.2602
2019-01,4.3100,,2.2590,2.6110,3.0732,5.2723,4.2394
2019-01,4.3100,,2.1785,2.6180,3.1024,5.2713,4.2120
2019-01,4.3100,,2.2400,2.5940,3.1146,5.2900,4.2320
2019-01,4.3100,,2.2430,2.5780,3.1152,5.3007,4.1725
2019-01,4.3100,,2.2440,2.5840,3.1363,5.2900,4.1868
2019-01,4.3100,,2.2630,2.6160,3.1246,5.2742,4.1882
2019-01,4.3100,,2.3620,2.6260,3.1383,5.2986,4.2040
2019-01,4.3100,,2.1940,2.6600,3.1578,5.3593,4.2601
2019-01,4.3100,,2.0780,2.7660,3.1322,5.3556,4.2585
2019-01,4.3100,,2.0021,2.7650,3.1276,5.3537,4.2553
2019-01,4.3100,,2.2380,2.7560,3.1165,5.3653,4.2579
2019-02,4.3100,,2.1000,2.7220,3.1063,5.3475,4.2451
2019-02,4.3100,,2.2640,2.3720,,,
2019-02,4.3100,,2.0860,2.3340,,,
2019-02,4.3100,,2.2650,2.5960,3.0689,5.2938,4.2352
2019-02,4.3100,,2.0170,2.5130,3.0650,5.2595,4.2301
2019-02,4.3100,,1.7220,2.3620,3.0753,5.2904,4.2203
2019-02,4.3100,,1.7210,2.3300,3.0971,5.3182,4.2145
2019-02,4.3100,,1.7130,2.3510,3.0873,5.2981,4.2165
2019-02,4.3100,,1.8224,2.3950,3.0952,5.3173,4.2758
2019-02,4.3100,,1.9670,2.3980,3.1247,5.3333,4.2415
2019-02,4.3100,,1.8540,2.3770,3.1183,5.3659,4.2453
2019-02,4.3100,,2.0300,2.3990,3.1312,5.3695,4.2419
2019-02,4.3100,,2.4310,2.6000,3.1392,5.3554,4.2510
2019-02,4.3100,,2.6050,2.6580,3.1805,5.4111,4.2870
2019-02,4.3100,,2.7050,2.7450,3.2106,5.4251,4.2942
2019-02,4.3100,,2.6540,2.7500,3.1689,5.4452,4.2814
2019-02,4.3100,,2.5840,2.6580,3.1656,5.4226,4.2771
2019-03,4.3100,,2.1550,2.5110,3.1856,5.4493,4.3282
2019-03,4.3100,,1.9330,2.3800,3.2032,5.5014,4.3609
2019-03,4.3100,,2.2660,2.5740,3.2043,5.5201,4.3690
2019-03,4.3100,,2.0740,2.4880,3.2092,5.5291,4.3829
2019-03,4.3100,,2.0600,2.5170,3.1729,5.5679,4.3972
2019-03,4.3100,,2.0470,2.3880,3.1419,5.5535,4.3464
2019-03,4.3100,,2.0920,2.3950,3.1401,5.5478,4.3943
2019-03,4.3100,,2.3650,2.6010,3.1423,5.5468,4.3967
2019-03,4.3100,,2.0790,2.4930,3.1423,5.5223,4.3933
2019-03,4.3100,,2.3100,2.5980,3.1423,5.5448,4.4233
2019-03,4.3100,,2.6550,2.7280,3.1483,5.5573,4.4134
